lot_number,name, price , price_per_sqm , deposit ,applications,status,auction_end,unit_floor,building_floors,total_area,rooms,completion_term,handover_status,living_area,kitchen_area,auxiliary_area,views,url
23975468,46A/6/31," $748,458,000.00 "," $12,900,000.00 "," $37,422,900.00 ",0,On sale,19.06.2026 09:00,8,12,58.02,2,2027-yilning 2-choragida,To'liq bitkazilgan holda,45.04,0,12.98,,https://e-auksion.uz/lot-view?lot_id=23975468
23975472,44B/6/53," $844,750,000.00 "," $10,900,000.00 "," $42,237,500.00 ",0,On sale,19.06.2026 09:00,9,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,,https://e-auksion.uz/lot-view?lot_id=23975472
23975481,44B/2/46," $745,560,000.00 "," $10,900,000.00 "," $37,278,000.00 ",0,On sale,19.06.2026 09:00,8,9,68.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,50.5,0,17.9,,https://e-auksion.uz/lot-view?lot_id=23975481
23975487,44B/6/37," $953,750,000.00 "," $10,900,000.00 "," $47,687,500.00 ",0,On sale,19.06.2026 09:00,7,9,87.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,68.4,0,19.1,,https://e-auksion.uz/lot-view?lot_id=23975487
23975496,44B/6/30," $953,750,000.00 "," $10,900,000.00 "," $47,687,500.00 ",0,On sale,19.06.2026 09:00,5,9,87.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,68.4,0,19.1,,https://e-auksion.uz/lot-view?lot_id=23975496
23975504,44B/2/15," $756,460,000.00 "," $10,900,000.00 "," $37,823,000.00 ",0,On sale,19.06.2026 09:00,3,9,69.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,52.2,0,17.2,,https://e-auksion.uz/lot-view?lot_id=23975504
23975579,44A/7/40," $854,887,000.00 "," $10,900,000.00 "," $42,744,350.00 ",0,On sale,19.06.2026 09:00,9,12,78.43,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.92,0,17.51,,https://e-auksion.uz/lot-view?lot_id=23975579
23975478,44A/1/60," $888,459,000.00 "," $10,900,000.00 "," $44,422,950.00 ",0,On sale,19.06.2026 09:00,12,12,81.51,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.58,0,20.93,,https://e-auksion.uz/lot-view?lot_id=23975478
23975486,44B/2/50," $844,750,000.00 "," $10,900,000.00 "," $42,237,500.00 ",0,On sale,19.06.2026 09:00,9,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,,https://e-auksion.uz/lot-view?lot_id=23975486
23975494,44B/6/42," $953,750,000.00 "," $10,900,000.00 "," $47,687,500.00 ",0,On sale,19.06.2026 09:00,7,9,87.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,68.4,0,19.1,,https://e-auksion.uz/lot-view?lot_id=23975494
23975505,44B/2/27," $756,460,000.00 "," $10,900,000.00 "," $37,823,000.00 ",0,On sale,19.06.2026 09:00,5,9,69.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,52.2,0,17.2,,https://e-auksion.uz/lot-view?lot_id=23975505
23975514,44B/6/46," $745,560,000.00 "," $10,900,000.00 "," $37,278,000.00 ",0,On sale,19.06.2026 09:00,8,9,68.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,50.5,0,17.9,,https://e-auksion.uz/lot-view?lot_id=23975514
23975535,46A/1/48," $820,182,000.00 "," $12,900,000.00 "," $41,009,100.00 ",0,On sale,19.06.2026 09:00,11,12,63.58,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,51.33,0,12.25,,https://e-auksion.uz/lot-view?lot_id=23975535
23975542,46A/2/44," $868,730,000.00 "," $10,900,000.00 "," $43,436,500.00 ",0,On sale,19.06.2026 09:00,9,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,,https://e-auksion.uz/lot-view?lot_id=23975542
23975553,44A/4/40," $894,166,000.00 "," $11,900,000.00 "," $44,708,300.00 ",0,On sale,19.06.2026 09:00,7,7,75.14,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,42.99,15.2,16.95,,https://e-auksion.uz/lot-view?lot_id=23975553
23975565,46A/3/47," $868,730,000.00 "," $10,900,000.00 "," $43,436,500.00 ",0,On sale,19.06.2026 09:00,9,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,,https://e-auksion.uz/lot-view?lot_id=23975565
23975575,46A/9/41," $902,956,000.00 "," $10,900,000.00 "," $45,147,800.00 ",0,On sale,19.06.2026 09:00,10,12,82.84,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,61.63,0,21.21,,https://e-auksion.uz/lot-view?lot_id=23975575
23975584,44A/7/34," $888,459,000.00 "," $10,900,000.00 "," $44,422,950.00 ",0,On sale,19.06.2026 09:00,8,12,81.51,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.58,0,20.93,,https://e-auksion.uz/lot-view?lot_id=23975584
23975592,46A/9/46," $902,956,000.00 "," $10,900,000.00 "," $45,147,800.00 ",0,On sale,19.06.2026 09:00,11,12,82.84,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,61.63,0,21.21,,https://e-auksion.uz/lot-view?lot_id=23975592
