lot_number,name,price,price_per_sqm,deposit,applications,status,auction_end,unit_floor,building_floors,total_area,rooms,completion_term,handover_status,living_area,kitchen_area,auxiliary_area,views,url
24023573,43F/5/32,1006974000,12900000,50348700,0,On sale,24.06.2026 09:00,7,12,78.06,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.43,0,17.63,0,https://e-auksion.uz/lot-view?lot_id=24023573
24023582,43F/5/56,820182000,12900000,41009100,0,On sale,24.06.2026 09:00,12,12,63.58,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,40.21,11.12,23.37,0,https://e-auksion.uz/lot-view?lot_id=24023582
24023589,43F/5/18,1068636000,12900000,53431800,0,On sale,24.06.2026 09:00,4,12,82.84,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,61.63,0,21.21,0,https://e-auksion.uz/lot-view?lot_id=24023589
24023598,43F/5/24,748458000,12900000,37422900,0,On sale,24.06.2026 09:00,6,12,58.02,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,45.04,0,12.98,0,https://e-auksion.uz/lot-view?lot_id=24023598
24023613,43F/8/36,841338000,12900000,42066900,0,On sale,24.06.2026 09:00,7,7,65.22,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,53.24,0,11.98,0,https://e-auksion.uz/lot-view?lot_id=24023613
24023623,43F/8/22,1097532000,12900000,54876600,0,On sale,24.06.2026 09:00,4,7,85.08,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,56.44,10.26,28.64,0,https://e-auksion.uz/lot-view?lot_id=24023623
24023634,43F/8/27,1021035000,12900000,51051750,0,On sale,24.06.2026 09:00,5,7,79.15,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,51.46,8.52,27.69,0,https://e-auksion.uz/lot-view?lot_id=24023634
24023460,44A/1/55,888459000,10900000,44422950,0,On sale,24.06.2026 09:00,11,12,81.51,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.58,0,20.93,0,https://e-auksion.uz/lot-view?lot_id=24023460
24023473,44B/6/43,953750000,10900000,47687500,0,On sale,24.06.2026 09:00,8,9,87.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,68.4,0,19.1,0,https://e-auksion.uz/lot-view?lot_id=24023473
24023478,44B/2/51,756460000,10900000,37823000,0,On sale,24.06.2026 09:00,9,9,69.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,52.2,0,17.2,0,https://e-auksion.uz/lot-view?lot_id=24023478
